,Image,Accuracy,F1,Jaccard,Recall,Precision
0,0001_46_original,0.973785400390625,0.0,0.0,1.0,0.0
1,0002_151_original,0.9508323669433594,0.0,0.0,1.0,0.0
2,0003_139_original,0.9986114501953125,0.0,0.0,1.0,0.0
3,0008_133_original,0.9954147338867188,0.0,0.0,0.0,0.0
4,0011_93_original,0.9307861328125,0.07011070110701106,0.036328871892925434,0.9985401459854014,0.03633080150847188
5,0019_10_original,0.9028358459472656,0.342361415920064,0.20653562194324165,0.9813499111900533,0.2073494917904613
6,0024_24_original,0.9929351806640625,0.8635224760501106,0.7598236285825444,0.9792746113989638,0.7722419928825622
7,0026_56_original,0.908447265625,0.4710394075641365,0.30807818716485036,0.9857024259754635,0.30946106397150386
8,0028_140_original,0.9425811767578125,0.612301669070678,0.4412354295047888,0.9890164752870694,0.44340819219577704
9,0030_99_original,0.9925689697265625,0.8794703625788888,0.7848702374378796,0.9903846153846154,0.7908969508123748
10,0031_136_original,0.9570159912109375,0.7049334869592542,0.5443222258168877,0.9908716136631331,0.5470655178019834
11,0031_61_original,0.9867439270019531,0.8055508925074143,0.6744120678347232,0.9891438779716917,0.6794411931281857
12,0032_64_original,0.9680099487304688,0.6319992978760751,0.461987553730673,0.9931043993931872,0.4634742871854283
13,0034_63_original,0.9966659545898438,0.9402270551224182,0.8871966959215282,0.9726899674543653,0.9098610191925877
14,0034_89_original,0.972686767578125,0.8089137977048305,0.6791395922025544,0.9928590146750524,0.6824732054399711
15,0039_6_original,0.9410324096679688,0.6981331042024683,0.5362553625536255,0.9834938101788171,0.5411255411255411
16,0040_29_original,0.9962120056152344,0.9512638036809816,0.9070572819168851,0.9882724862329186,0.9169268615763081
17,0046_141_original,0.9417648315429688,0.7580282136630211,0.6103425391801521,0.9852492789451999,0.6159711488923235
18,0050_52_original,0.9893035888671875,0.9207999096147328,0.8532244556113903,0.9987133141351633,0.8541633915002882
19,0055_28_original,0.9878463745117188,0.9449341491237166,0.8956162767839592,0.9898251077235036,0.9039383618266592
20,0055_80_original,0.9932403564453125,0.9574917238401381,0.9184499976989277,0.9953615960099751,0.9223978554261416
21,0056_47_original,0.9923057556152344,0.9649479519663556,0.9322699798522498,0.9965183058147882,0.9353165111343194
22,0064_123_original,0.998687744140625,0.9924355704107661,0.9849847228284592,0.9884362680683312,0.9964673673054845
23,0066_102_original,0.9989089965820312,0.9935906055309041,0.9872628484902467,0.9903060084878267,0.9968970634528039
24,0067_20_original,0.9983787536621094,0.9903279397373751,0.9808411846909796,0.9808854025786674,0.9999540420056069
25,0068_144_original,0.989959716796875,0.9573778986915403,0.9182405566600398,0.9741950367465313,0.9411315228119329
26,0068_17_original,0.9990196228027344,0.9941330898299281,0.9883346193999365,0.989682287168765,0.9986241056686846
27,0073_118_original,0.9976844787597656,0.9852127944651514,0.9708565392740541,0.9764825188333012,0.9941005850253183
28,0074_149_original,0.982421875,0.9337569362583019,0.8757449103411082,0.9707957194954265,0.8994405671873269
29,0077_114_original,0.9977607727050781,0.9850121281756671,0.9704668947474341,0.9821283095723015,0.9879129321382842
30,0078_48_original,0.997344970703125,0.9816639443595553,0.9639882030320277,0.9655869396216636,0.9982853774848631
31,0079_22_original,0.997589111328125,0.9829732205398998,0.9665165562913908,0.968157936634294,0.9982489740082079
32,0080_152_original,0.9974441528320312,0.9812398499187993,0.9631706244503079,0.9638063806380638,0.9993156153758412
33,0082_106_original,0.9972496032714844,0.9786490568272677,0.9581907799362134,0.9848024316109423,0.9725721012360212
34,0085_91_original,0.9959373474121094,0.9838956011552827,0.9683016846240847,0.9932527324906881,0.9747131258051952
35,0085_92_original,0.9961280822753906,0.9666107437744663,0.9353791303240593,0.9724649192480805,0.9608266300438166
36,0087_31_original,0.9959297180175781,0.9622581443882424,0.9272615720226328,0.9664629813841126,0.958089737268437
37,0094_27_original,0.9888648986816406,0.9559349667134641,0.9155894855556519,0.9221762684219724,0.992259237205804
38,0096_94_original,0.9925880432128906,0.9705958019945823,0.9428714239510747,0.9437871563953146,0.9989719946419114
39,0097_147_original,0.9853630065917969,0.941742708349149,0.8898995695839311,0.890359439595774,0.9994199349038059
40,0098_83_original,0.9977073669433594,0.9762741305120208,0.9536480024679932,0.997418730337985,0.9560074222978197
41,0101_120_original,0.99017333984375,0.9647789110995652,0.9319544602055102,0.9319544602055102,1.0
42,0102_135_original,0.9976119995117188,0.9741770480983417,0.9496541740389255,0.9824444629336884,0.9660476151517631
43,0110_19_original,0.9953880310058594,0.9292361720807726,0.8678255165628075,0.9931189791067184,0.8730752309722833
44,0115_30_original,0.9792900085449219,0.9350931936922396,0.8780986168492905,0.8781183338946895,0.9999744297841874
45,0116_100_original,0.9788475036621094,0.933826600632496,0.8758674725766734,0.8759459096404424,0.9998977740294922
46,0119_42_original,0.9971046447753906,0.968769287742254,0.9394302130715825,0.9716879900949237,0.9658680669510994
47,0119_96_original,0.9769172668457031,0.9274990714225806,0.8648002502457771,0.8648002502457771,1.0
48,0121_50_original,0.9721031188964844,0.9108333841370481,0.8362663442593588,0.8362663442593588,1.0
49,0121_90_original,0.9969329833984375,0.9716241970777159,0.9448143318003981,0.9624528038036638,0.9809720638540479
50,0130_68_original,0.9726219177246094,0.907008383109395,0.8298402010526815,0.8299976286459568,0.999771487331829
51,0132_107_original,0.9715003967285156,0.9021313386693216,0.8217115311187476,0.8280348210850327,0.9907921618277559
52,0134_109_original,0.9698677062988281,0.8944449641201074,0.8090460764879369,0.8204304765640321,0.9831379806703681
53,0138_32_original,0.9988861083984375,0.9940112391812626,0.9880937818552498,0.9880937818552498,1.0
54,0138_4_original,0.9684867858886719,0.8752359808496821,0.7781507640250289,0.7914993580813461,0.9787866504526416
55,0149_153_original,0.9986763000488281,0.9933051648627269,0.9866993752156081,0.9867750220416299,0.999922311995028
56,0151_84_original,0.9692878723144531,0.8623454784823978,0.7580029456851723,0.7580029456851723,1.0
57,0152_65_original,0.9671516418457031,0.8508116911242398,0.740358812000603,0.740358812000603,1.0
58,0156_15_original,0.9993247985839844,0.996478382841567,0.9929814822157896,0.9975302740599108,0.9954287077155464
59,0162_75_original,0.9749526977539062,0.8793413943915617,0.7846648301193756,0.7851798372276187,0.9991647874384031
60,0163_37_original,0.975677490234375,0.8814737703089564,0.7880671430945654,0.7881195359505369,0.9999156509636877
61,0164_16_original,0.9766426086425781,0.8854807638356369,0.7944957207585165,0.795938267038768,0.9977240158475934
62,0165_78_original,0.9769973754882812,0.8853830070328835,0.7943383356070941,0.7944196200156906,0.9998712059416992
63,0166_23_original,0.9780044555664062,0.8885840160766734,0.7995062415243923,0.7997008903728436,0.9996956521739131
64,0169_155_original,0.9984207153320312,0.9909042973899288,0.981972566949706,0.9905996046562706,0.9912091776185662
65,0170_143_original,0.9780311584472656,0.8876051445188236,0.7979227341310221,0.8024843843737869,0.9929263819753733
66,0172_129_original,0.9787712097167969,0.8924700017390296,0.8058201612059039,0.81042953396968,0.9929913574407705
67,0178_7_original,0.9810523986816406,0.9048740783299818,0.8262740023084187,0.8266498705297781,0.9994500148072937
68,0183_112_original,0.9799575805664062,0.8965788748474469,0.8125445982588839,0.8211877546605127,0.9872122762148338
69,0193_21_original,0.9971275329589844,0.9790303266590549,0.9589220446238612,0.9887501406232422,0.9694997518062987
70,0194_2_original,0.9774856567382812,0.8608675153229609,0.7557220313728736,0.7651594518710975,0.983941369833486
71,0197_111_original,0.99737548828125,0.9814675142764788,0.9636094361578335,0.9824731704686405,0.980463914751628
72,0200_132_original,0.9961280822753906,0.9721421709894332,0.9457943925233645,0.9738260200153964,0.9704641350210971
73,0203_39_original,0.9639816284179688,0.7798759733296032,0.6391776215224702,0.7530841963079694,0.8086443627924966
74,0205_54_original,0.9963722229003906,0.9722716272560282,0.9460394916023604,0.9894955489614243,0.955637072276036
75,0208_101_original,0.9616317749023438,0.7381547433093825,0.5849804002475758,0.7240551583248213,0.7528143585386576
76,0210_127_original,0.9963722229003906,0.969896489506505,0.9415524552885501,0.9914574165156614,0.9492533614226408
77,0211_137_original,0.9965476989746094,0.970711026246804,0.9430889196327505,0.9902277979531199,0.9519487114383649
78,0212_5_original,0.9969444274902344,0.9739317212874671,0.9491880233443288,0.9962050599201066,0.9526325841981282
79,0214_148_original,0.9968757629394531,0.973190611803987,0.9477811782708493,0.9994621125529483,0.948264863485583
80,0216_44_original,0.9976463317871094,0.9796885801757909,0.9601858424211137,0.9956507193041151,0.9642301710730948
81,0227_98_original,0.9700584411621094,0.7208450403670378,0.5635322248790524,0.7888836992059786,0.6636107655032414
82,0229_138_original,0.9720954895019531,0.718772826880935,0.5610034207525656,0.8028169014084507,0.650657757360618
83,0232_25_original,0.9770431518554688,0.7217495838727576,0.5646386457353686,0.8508666739343727,0.6266559614612606
84,0232_73_original,0.9995613098144531,0.9944404157602127,0.9889423076923077,0.9947770577425283,0.9941040015464914
85,0233_9_original,0.97943115234375,0.7321410829607551,0.5774625813024058,0.8835731414868105,0.6250212044105173
86,0234_59_original,0.9806175231933594,0.7357636902595038,0.5819827231591937,0.9254317111459969,0.610617177384549
87,0235_103_original,0.9986724853515625,0.9831786542923434,0.9669138619509412,0.9861340056239698,0.9802409638554217
88,0236_76_original,0.9986000061035156,0.9825545467509625,0.9657073444216034,0.9900373599003736,0.9751839969805624
89,0238_1_original,0.9839096069335938,0.7719260300638044,0.6285663966185276,1.0,0.6285663966185276
90,0245_8_original,0.9994430541992188,0.9935381074621581,0.9871591908531222,0.9998218421521468,0.9873328641801549
91,0246_0_original,0.9851341247558594,0.7999383951948252,0.6665811088295688,1.0,0.6665811088295688
92,0248_70_original,0.9996795654296875,0.9961038961038962,0.9922380336351876,0.998419339841934,0.9937991670522907
93,0251_150_original,0.9993476867675781,0.9915601401707714,0.9832615505090054,0.999900457893689,0.9833578071463533
94,0255_124_original,0.9997100830078125,0.9956901440399228,0.9914172783738001,0.9978404182768811,0.9935491172476234
95,0258_57_original,0.9727745056152344,0.6414828954639071,0.4721934625055465,1.0,0.4721934625055465
96,0259_33_original,0.9719200134277344,0.6271212197963629,0.4567928566157479,1.0,0.4567928566157479
97,0260_115_original,0.9995918273925781,0.9928327416437805,0.9857674913540835,0.9969061070755986,0.9887925283522349
98,0261_66_original,0.9990959167480469,0.983392894681522,0.967328370554177,0.999857509261898,0.9674617399696678
99,0262_69_original,0.97119140625,0.5753963791746317,0.4038992817112637,1.0,0.4038992817112637
100,0265_72_original,0.9992866516113281,0.9808930213548585,0.962502506516944,0.9993753903810119,0.9630818619582665
101,0266_79_original,0.9998664855957031,0.9963316214233309,0.9926900584795322,0.9979004828889355,0.9947676852239431
102,0267_108_original,0.9711036682128906,0.4683837462278055,0.30581011730205276,1.0,0.30581011730205276
103,0267_88_original,0.9998435974121094,0.9957622739018088,0.9915603128859612,0.9997924449979244,0.9917644636606959
104,0271_82_original,0.9735794067382812,0.4024158757549612,0.2518902570749622,1.0,0.2518902570749622
105,0275_104_original,0.9770126342773438,0.18102745311225876,0.09952181709503885,1.0,0.09952181709503885
106,0276_131_original,0.9999008178710938,0.9974494800863253,0.9949119373776908,0.9992138364779874,0.9956913435174305
107,0277_110_original,0.9796714782714844,0.09324485281606262,0.04890237372835981,0.8509316770186336,0.049324932493249325
108,0280_122_original,0.9843215942382812,0.01201923076923077,0.006045949214026602,1.0,0.006045949214026602
109,0282_18_original,0.9998588562011719,0.9958561989024527,0.9917465982600937,0.9991011235955056,0.9926322839919625
110,0284_11_original,0.9934959411621094,0.0,0.0,1.0,0.0
111,0287_60_original,0.9994354248046875,0.9717125382262997,0.9449814126394052,0.9996067636649626,0.9453328374860543
112,0292_134_original,0.9997634887695312,0.9942730463698504,0.9886113152094048,0.9887929450670586,0.9998142299832807
113,0293_85_original,0.9998283386230469,0.9960397782275807,0.9921107994389902,0.9922847624057514,0.9998233215547703
114,0295_3_original,0.9969406127929688,0.7477987421383647,0.5971873430436966,0.9891846921797005,0.6011122345803842
115,0297_35_original,0.9998779296875,0.9974481658692185,0.9949093223035317,0.9950676213206047,0.9998401278976818
116,0299_43_original,0.9976921081542969,0.8610792192881745,0.7560483870967742,0.9989344698987747,0.7566585956416465
117,0300_121_original,0.998046875,0.8873735151781786,0.7975484381178332,0.9945759368836292,0.801032565528197
118,0301_126_original,0.9998321533203125,0.9965354330708661,0.9930947897049592,0.9960648512513773,0.9970064597447613
119,0303_117_original,0.9997062683105469,0.993858179787828,0.9877913429522752,0.9879479860450364,0.9998395121168352
120,0303_53_original,0.9991493225097656,0.9549221750555893,0.9137330754352031,0.9911875786823332,0.9212168486739469
121,0307_142_original,0.9994888305664062,0.9886247877758914,0.9775054557663253,0.9775054557663253,1.0
122,0307_95_original,0.9998283386230469,0.9920424403183024,0.9842105263157894,0.9946808510638298,0.9894179894179894
123,0308_62_original,0.9995880126953125,0.9817258883248731,0.9641076769690927,0.9993110575266965,0.96474891918856
124,0312_67_original,0.9997978210449219,0.9955293125263602,0.9910984212294256,0.9994918699186992,0.9915980507477735
125,0319_125_original,0.9986457824707031,0.9512161605057029,0.9069706498951782,0.9974063400576368,0.9091147885474127
126,0321_146_original,0.9984397888183594,0.9507169538498614,0.9060633899862196,0.9982287449392713,0.9075224292615597
127,0324_71_original,0.9973297119140625,0.9289772727272727,0.8673740053050398,1.0,0.8673740053050398
128,0324_74_original,0.9984474182128906,0.9391720221192646,0.8853198083967315,1.0,0.8853198083967315
129,0329_51_original,0.9997711181640625,0.9941222570532915,0.9883132060771328,0.9883132060771328,1.0
130,0330_97_original,0.9993972778320312,0.9490322580645161,0.9030079803560467,1.0,0.9030079803560467
131,0332_105_original,0.9996757507324219,0.9636907304570697,0.9299258037922506,1.0,0.9299258037922506
132,0333_38_original,0.9996566772460938,0.9562256809338522,0.9161230195712954,1.0,0.9161230195712954
133,0334_154_original,0.9996185302734375,0.9438832772166106,0.8937300743889479,1.0,0.8937300743889479
134,0335_116_original,0.9995841979980469,0.989410278830273,0.9790424918284946,1.0,0.9790424918284946
135,0336_55_original,0.9985389709472656,0.7471947194719472,0.5964172813487882,1.0,0.5964172813487882
136,0338_49_original,0.9998397827148438,0.9962311557788944,0.9924906132665833,0.9935564703776625,0.998920280727011
137,0341_40_original,0.9998207092285156,0.8553846153846154,0.7473118279569892,1.0,0.7473118279569892
138,0347_86_original,0.9997825622558594,0.9959782685387709,0.9919887561489811,0.9994335882186349,0.9925467585431023
139,0352_130_original,0.9997177124023438,0.9946785560189846,0.9894134477825465,0.9894134477825465,1.0
140,0356_26_original,0.9990005493164062,0.9787819889860706,0.9584456780333069,0.9584456780333069,1.0
141,0376_145_original,0.9990386962890625,0.9845018450184502,0.9694767441860465,1.0,0.9694767441860465
142,0380_36_original,0.99908447265625,0.9860302677532014,0.9724454649827784,1.0,0.9724454649827784
143,0382_81_original,0.9992103576660156,0.988173455978975,0.9766233766233766,1.0,0.9766233766233766
144,0383_58_original,0.9991722106933594,0.9876823522733723,0.9756644611416395,1.0,0.9756644611416395
145,0387_113_original,0.9988288879394531,0.9826739657994243,0.9659380894263841,1.0,0.9659380894263841
146,0389_119_original,0.9995574951171875,0.9933033137051149,0.9866957219864664,1.0,0.9866957219864664
147,0393_77_original,0.9993820190429688,0.9901948916596054,0.9805801965955406,1.0,0.9805801965955406
148,0396_87_original,0.9999618530273438,0.999337397296581,0.9986756720964111,0.9994698475811796,0.9992049821120975
149,0397_12_original,0.9998016357421875,0.9964038727524205,0.9928335170893055,0.9928335170893055,1.0
150,0411_128_original,0.9999237060546875,0.9753694581280788,0.9519230769230769,1.0,0.9519230769230769
151,0417_14_original,0.9999847412109375,0.9850746268656716,0.9705882352941176,0.9850746268656716,0.9850746268656716
152,0423_13_original,0.9999008178710938,0.0,0.0,0.0,1.0
153,0425_34_original,0.9998931884765625,0.0,0.0,0.0,1.0
154,0426_45_original,0.999908447265625,0.0,0.0,0.0,1.0
155,0427_41_original,0.9999008178710938,0.0,0.0,0.0,1.0
